prov,time,gdp,pergdp,ei,fdi,il,lnpergdp,ui,pilot,post09,cross09,post10,cross10,post11,cross11,post12,cross12,post13,cross13,post14,cross14,post15,cross15,post16,cross16,lnlctfp,lnlci,eps,ind_num1,ind_num2,ind_num3,ind_num4,forest1,forest2,forest3
吉林省,2010,8667.58,31599.0,0.9572813507345765,0.017767358363003284,0.52,10.360880753504652,0.5335,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6348782724359695,6.0014148779611505,3647.0,8.729235349659273,5.771441123130016,6.651571873589727,9.023686970275179,38.93,848.73,82584.0
吉林省,2011,10568.83,38460.0,0.861310258562206,0.013634432572006552,0.531,10.55737401914277,0.534,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.616186139423817,6.144185634125646,4364.0,8.54830418644129,5.53338948872752,6.423246963533519,9.116363889402189,38.93,848.73,36424.0
吉林省,2012,11939.24,43415.0,0.7909245806265726,0.013845102368324954,0.534,10.678560282494745,0.537,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.616186139423817,6.369900982828227,4147.0,8.572817095164234,5.43372200355424,6.6052979209482015,9.15303307175909,38.93,848.73,28166.0
吉林省,2013,12981.46,47191.0,0.6659497467927337,0.008211711163459272,0.528,10.76195847542619,0.542,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,-0.5621189181535413,6.501289670540389,4483.0,8.585412430393381,5.583496308781699,6.4967749901858625,9.064736398117391,40.38,856.19,112446.0
吉林省,2014,13803.14,50160.0,0.6201487487629627,0.0059044536243202635,0.528,10.822973175306803,0.5481,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,-0.5978370007556204,6.431331081933479,5112.0,8.577535420422398,5.726847747587197,6.630683385642372,9.054855469135788,40.38,856.19,108523.0
吉林省,2015,14063.13,51086.0,0.4991776368418695,0.00660104116224482,0.4981615,10.841265766051706,0.5531,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-0.5978370007556204,6.699500340161678,5476.0,8.645058562414134,5.749392985908253,6.665683717782408,8.856518497019858,40.38,856.19,199851.0
吉林省,2016,14776.8,53868.0,0.4660007579448866,0.010910345947701803,0.47409999999999997,10.894291888569933,0.5597,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-0.6348782724359695,6.86171134048073,5364.0,8.700014623251842,5.438079308923196,6.601230118728877,8.83724564389847,40.38,856.19,157905.0
黑龙江省,2008,8310.0,21727.0,1.2008893682310469,0.007689530685920577,0.525,9.98631100573524,0.5539999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23572233352106983,6.19644412779452,2832.0,8.387539983189367,5.645446897643238,6.6039438246004725,9.208277305316894,39.54,2026.5,120609.0
黑龙江省,2009,8587.0,22447.0,1.2189007604518458,0.010725515313846511,0.473,10.018912253951546,0.555,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2613647641344075,6.234410725718371,3241.0,8.391176350832751,5.746203190540153,6.741700694652055,9.255954144369415,42.39,2184.16,213124.0
黑龙江省,2010,10368.6,27076.0,1.0834158005902434,0.01160233782767201,0.502,10.206403005628498,0.5566,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35667494393873245,6.565264970035361,3719.0,8.432941638968646,6.373319789577012,6.921658184151129,9.326656118356627,42.39,2184.16,233777.0
黑龙江省,2011,12582.0,32819.0,0.9631618089333969,0.007312033063106025,0.503,10.398762894953803,0.565,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.342490308946776,6.658011045870748,3966.0,8.124743020385568,6.338594078203183,6.890609120147166,9.402488646372941,42.39,2184.16,123763.0
黑龙江省,2012,13691.58,35711.0,0.9317989640348301,0.007997616053077878,0.441,10.48321404355681,0.569,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.37106368139083207,6.838405200847344,4067.0,8.271548374755515,6.429719478039138,7.014814351275545,9.453898136079053,42.39,2184.16,162299.0
黑龙江省,2013,14382.93,37509.0,0.82410190413219,0.004484482647137961,0.41100000000000003,10.532336183163109,0.574,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,-0.4462871026284195,6.940222469119639,4738.0,8.318254328798846,6.3080984415095305,6.898714534329988,9.3803362790795,43.16,2207.4,124122.0
黑龙江省,2014,15039.38,39226.0,0.7949130881725178,0.003377798818834287,0.369,10.577095071221457,0.5801,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,-0.527632742082372,6.983789965258135,4882.0,8.367532416861831,6.269096283706261,6.727431724850855,9.388904879892426,43.16,2207.4,101079.0
黑龙江省,2015,15083.67,39461.56442,0.7361603641554078,0.0037119149384731965,0.3180977,10.583082424507918,0.588,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-0.5978370007556204,7.338238150065589,5144.0,8.33375100695358,6.095824562432225,6.522092798170152,9.315060682746585,43.16,2207.4,134972.0
黑龙江省,2016,15386.09,40432.0,0.7194810377425324,0.004773142494291922,0.28600000000000003,10.607376829627976,0.5920000000000001,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-0.6539264674066639,7.4821189235521155,5295.0,8.28045768658256,4.700480365792417,6.437751649736401,9.311994025702683,43.16,2207.4,92999.0
上海,2008,13698.15,73124.0,0.7451632738727493,0.0415165551552582,0.455,11.199911909226977,0.8859999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22314355131420976,7.616775808698373,8195.0,9.841186526338749,5.062595033026967,5.288267030694535,9.230864141147828,3.17,2.25,1915.0
上海,2009,15046.45,78989.0,0.6890248224664289,0.028471832226206178,0.39899999999999997,11.27706388124797,0.8859999999999999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14842000511827322,7.769800996003896,12840.0,9.792891131194102,5.605802066295998,5.786897381366708,9.246419376280294,9.41,7.46,2051.0
上海,2010,17165.98,76074.0,0.6525190807632305,0.028247731851021612,0.42100000000000004,11.239461829756003,0.893,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1570037488096647,8.011686729127847,14464.0,9.722205455316836,4.941642422609304,5.293304824724492,9.323769900412632,9.41,7.46,1349.0
上海,2011,19195.69,82560.0,0.5871361107623639,0.02659972108322233,0.413,11.32128058071539,0.893,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1570037488096647,8.239065331769268,14603.0,9.20653313363323,4.61512051684126,4.976733742420574,9.32994244551287,9.41,7.46,710.0
上海,2012,20181.72,85373.0,0.5629922717191597,0.026751931946335593,0.389,11.354785170537204,0.893,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.13976194237515863,8.445482343862237,14061.0,9.187276432377631,4.74493212836325,5.075173815233827,9.338043146158608,9.41,7.46,1168.0
上海,2013,21602.12,90092.0,0.5252262277961608,0.02829814851505315,0.37200000000000005,11.408586649421268,0.8959999999999999,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.09531017980432493,8.472195825485501,16420.0,9.188299241099303,4.7535901911063645,4.962844630259907,9.336620537886512,10.74,7.73,862.0
上海,2014,23567.7,97370.0,0.4703471276365534,0.02631143471785537,0.34700000000000003,11.486273433972801,0.8959999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.08617769624105241,8.446126742982377,16787.0,9.1557785839835,4.962844630259907,5.10594547390058,9.313348122050412,10.74,7.73,899.0
上海,2015,25123.45,103795.536,0.43509151808370267,0.021617090805601938,0.3180694,11.550178243008803,0.8759999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.12221763272424911,8.60061479955531,20949.0,9.104312967330653,4.844187086458591,4.976733742420574,9.299358068293836,10.74,7.73,3241.0
上海,2016,28178.65,116562.0,0.398954527629961,0.017569684850054914,0.2983,11.666178599266836,0.879,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.13976194237515863,8.753371421000903,24747.0,9.03013657115323,4.955827057601261,5.093750200806762,9.32741204356202,10.74,7.73,3941.0
江苏省,2008,30312.61,39622.0,0.7334318542679102,0.05916679560090669,0.55,10.587139798534272,0.5429999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35667494393873245,7.65491704784832,4049.0,11.089729082831749,5.5134287461649825,6.0063531596017325,10.009298487739839,7.54,99.88,88655.0
江苏省,2009,34457.3,44744.0,0.6880770486950516,0.048663127987393084,0.539,10.708712636501424,0.556,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3285040669720361,7.988542982737695,4983.0,11.015624634135149,5.780743515792329,6.18826412308259,10.073621697785118,10.48,128.64,83713.0
江苏省,2010,41425.48,52840.0,0.6221703574708126,0.041783462738391924,0.525,10.875023758636262,0.6058,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31471074483970024,8.526549286340263,5841.0,11.068761107722787,5.683579767338681,6.171700597410915,10.157110092299401,10.48,128.64,86256.0
